Timestamp,Age (Complete),Gender,Are you employed,Do you invest the money earned or saved or received from family (if not employed currently) ?,Where do you invest? (Select all the apply),Do you get paid in ESOPs (employee stock ownership plan as a part of your CTC)?,"City of work (Write like this - Example: Pune, Maharashtra, India)","Home town (Write like this - Example: Pune, Maharashtra, India)"
4/1/2024 10:28:48,24,Female,Yes,No,Stocks,No,Nagpur,Ramakona 
4/1/2024 10:29:41,26,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds",Yes,Mumbai,"Nagpur, Maharashtra, India"
4/1/2024 11:17:22,26,Male,No,No,I do not invest,,-,Aurangabad
4/1/2024 11:20:03,26,Female,Yes,No,"Gold/Silver/Platinum, Fixed Deposit",No,"Pune, Maharashtra, India","Nagpur, Maharashtra, India"
4/1/2024 11:25:08,26,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund",No,"Pune,Maharashtra,India","Nagpur, Maharashtra,India"
4/1/2024 11:53:25,23,Female,No,Yes,Stocks,No,Chennai ,Coimbatore 
4/1/2024 12:15:05,26,Male,No,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Fixed Deposit, Senior Citizen's Savings Scheme",No,Nagpur,Nagpur 
4/1/2024 13:58:41,26,Female,Yes,Yes,"Stocks, Mutual Fund, Public Provident Fund",No,Thane,Amravati
4/1/2024 15:17:14,29,Male,Yes,Yes,Mutual Fund,No,Nagpur ,Amravati 
4/1/2024 15:33:07,26,Female,Yes,Yes,"Stocks, Mutual Fund, Public Provident Fund, Unit Linked Insurance Plans",No,"Pune, Maharashtra, India",Chandrapur
4/1/2024 16:04:40,22,Male,Yes,Yes,"Stocks, Index",No,"Pune, Maharashtra, India","Sangola, Solapur, Maharashtra "
4/1/2024 19:32:30,25,Male,Yes,No,I do not invest,No,"Bangalore, Karnataka, India ","Nagpur, Maharashtra, India"
4/1/2024 22:38:12,26,Male,Yes,Yes,"Stocks, Mutual Fund, National Pensions System",No,Pune,Nagpur 
4/1/2024 22:38:55,26,Male,Yes,Yes,"Mutual Fund, Fixed Deposit",No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
4/1/2024 22:41:10,26,Female,Yes,Yes,"Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund",No,Nagpur,Nagpur
4/1/2024 22:43:34,27,Male,Yes,No,Stocks,No,Gurugram,Nagpur
4/1/2024 22:51:52,26,Female,No,No,I do not invest,No,"Nagpur, Maharashtra, India",Nagpur
4/1/2024 22:52:35,26,Male,Yes,Yes,"Stocks, Real Estate, Gold/Silver/Platinum, National Pensions System",No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
4/1/2024 22:54:30,27,Male,Yes,Yes,"Mutual Fund, Public Provident Fund, National Pensions System",No,Nagpur,Nagpur
4/1/2024 22:56:28,26,Male,Yes,No,I do not invest,No,"Pune, Maharashtra , India ","Pulgaon, Maharashtra, India "
4/1/2024 22:57:05,29,Female,Yes,Yes,"Fixed Deposit, RD",No,Nagpur ,Mirzapur 
4/1/2024 23:08:22,26,Female,Yes,Yes,Mutual Fund,No,"Hyderabad, Telangana ","Tumsar, Maharashtra "
4/1/2024 23:11:14,27,Male,Yes,No,Mutual Fund,No,Pune ,Ahmednagar 
4/1/2024 23:50:51,35,Female,Yes,Yes,Stocks,No,"Nagpur, Maharashtra, India ","Nagpur,  Maharashtra, India "
4/1/2024 23:54:19,26,Female,Yes,Yes,"Stocks, Mutual Fund",No,Mumbai,Rahata
4/2/2024 10:04:45,27,Male,Yes,No,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds",No,"Bengaluru, Karnataka, India","Nagpur, Maharashtra, India"
4/2/2024 11:37:38,26,Female,Yes,Yes,"Stocks, Mutual Fund",No,Nagpur ,Nagpur 
4/2/2024 11:42:00,27,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Fixed Deposit, Public Provident Fund",Yes,Bengaluru ,Nagpur
4/2/2024 12:05:45,27,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund, Unit Linked Insurance Plans",No,Hyderabad ,Nagpur 
4/2/2024 12:35:16,26,Female,Yes,Yes,"Mutual Fund, Fixed Deposit",No,"Nagpur, Maharashtra,India ","Bhopal, madhya pradesh, India "
4/2/2024 12:42:26,49,Male,No,Yes,"Mutual Fund, Fixed Deposit, National Pensions System",No,"Bucharest, Romania","Bucharest, Romania"
4/2/2024 13:34:20,23,Male,Yes,Yes,"Stocks, Mutual Fund",No,Thane,Thane
4/2/2024 13:35:47,17,Male,No,No,I do not invest,No,Delhi ,"Rohtak, Haryana "
4/2/2024 13:38:12,44,Male,Yes,No,I do not invest,No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
4/2/2024 13:38:14,31,Female,Yes,Yes,Gold/Silver/Platinum,No,"Pune, Maharashtra, India","Nagpur, Maharashtra, India"
4/2/2024 13:39:40,32,Male,No,No,Stocks,No,"Berlin, India","Coimbra, Portugal"
4/2/2024 13:46:47,42,Female,Yes,Yes,"Mutual Fund, Gold/Silver/Platinum",No,Noida,Aurangabad
4/2/2024 14:10:43,26,Female,Yes,No,I do not invest,No,"Melbourne, Victoria, Australia","Nagpur, Maharashtra, India"
4/2/2024 14:18:22,50,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Public Provident Fund",No,"Hyderabad, Telangana, India","Nagpur, Maharashtra, India "
4/2/2024 14:20:47,41,Female,Yes,Yes,Mutual Fund,No,Hyderabad ,Rajasthan 
4/2/2024 14:30:36,41,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, National Pensions System, Unit Linked Insurance Plans",Yes,Noida,Patna
4/2/2024 14:43:02,44,Female,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Bonds, Public Provident Fund, National Pensions System",No,"Noida, UP, India","Noida, UP, India"
4/2/2024 14:45:58,25,Male,Yes,Yes,"Stocks, Mutual Fund, Fixed Deposit, Public Provident Fund, National Pensions System",No,Nagpur ,Chhindwara 
4/2/2024 15:27:30,33,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, National Pensions System",No,Pune,Nagpur
4/2/2024 15:31:57,53,Female,Yes,Yes,"Mutual Fund, Gold/Silver/Platinum, Public Provident Fund",No,Pune,Secunderabad 
4/2/2024 15:36:49,26,Female,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund",No,Pune,"Nagpur, Maharashtra, India "
4/2/2024 15:43:07,43,Male,No,Yes,"Stocks, Mutual Fund, Real Estate, Certificate of Deposit, Public Provident Fund",No,"Curitiba, Paraná, Brazil","Curitiba, Paraná, Brazil"
4/2/2024 16:03:13,31,Female,No,Yes,"Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund",No,Raipur,Raipur
